Month,Units sold
Dec 19,5799
Nov 19,5651
Oct 19,5033
Sep 19,9202
Aug 19,2802
Jul 19,5302
Jun 19,7361
May 19,6231
Apr 19,5680
Mar 19,13637
Feb 19,2953
Jan 19,5402
Dec 18,5328
Nov 18,6197
Oct 18,5094
Sep 18,7390
Aug 18,2772
Jul 18,5546
Jun 18,8233
May 18,6337
Apr 18,6216
Mar 18,13300
Feb 18,2838
Jan 18,5473
Dec 17,6433
Nov 17,5117
Oct 17,4941
Sep 17,10760
Aug 17,2918
Jul 17,7031
Jun 17,7512
May 17,6713
Apr 17,6011
Mar 17,13655
Feb 17,3236
Jan 17,5431
Dec 16,5657
Nov 16,5978
Oct 16,5427
Sep 16,12565
Aug 16,2687
Jul 16,5825
