Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",162.74
Professional and business services,109.66
Manufacturing,99.65
Government and government enterprises,71.0
"Educational services, health care, and social assistance",67.8
Wholesale trade,62.72
Retail trade,40.22
Information,32.37
Transportation and warehousing,30.3
"Arts, entertainment, recreation, accommodation, and food services",29.95
Construction,23.68
Utilities,12.48
"Agriculture, forestry, fishing, and hunting",9.69
"Mining, quarrying, and oil and gas extraction",2.82
