Year,GDP in billion U.S. dollars
2024*,1695.2
2023*,1626.8
2022*,1564.59
2021*,1503.51
2020*,1440.4
2019*,1397.87
2018,1427.53
2017,1317.1
2016,1238.0
2015,1199.69
2014,1379.1
2013,1362.28
2012,1336.76
2011,1489.43
2010,1434.29
2009,1502.9
2008,1642.77
2007,1481.39
2006,1265.61
2005,1159.15
2004,1070.68
2003,908.41
2002,707.33
2001,626.4
2000,597.03
1999,634.37
1998,616.89
1997,587.92
1996,638.44
1995,612.43
1994,529.82
1993,528.01
1992,628.57
1991,575.02
1990,533.92
1989,411.57
1988,373.14
1987,317.6
1986,250.68
1985,181.17
1984,171.96
