Quarter,Percentage of e-commerce sales
Q4 '19*,11.4%
Q3 '19,11.2%
Q2 '19,10.8%
Q1 '19,10.5%
Q4 '18,10.1%
Q3 '18,10%
Q2 '18,9.8%
Q1 '18,9.4%
Q4 '17,9.1%
Q3 '17,9.1%
Q2 '17,8.9%
Q1 '17,8.5%
Q4 '16,8.2%
Q3 '16,8.2%
Q2 '16,8%
Q1 '16,7.8%
Q4 '15,7.5%
Q3 '15,7.3%
Q2 '15,7.1%
Q1 '15,6.9%
Q4 '14,6.6%
Q3 '14,6.5%
Q2 '14,6.3%
Q1 '14,6.2%
Q4 '13,6.1%
Q3 '13,5.9%
Q2 '13,5.8%
Q1 '13,5.6%
Q4 '12,5.5%
Q3 '12,5.4%
Q2 '12,5.3%
Q1 '12,5.1%
Q4 '11,5.1%
Q3 '11,4.9%
Q2 '11,4.8%
Q1 '11,4.7%
Q4 '10,4.6%
Q3 '10,4.6%
Q2 '10,4.4%
Q1 '10,4.2%
