Industry,GDP in million chained 2012 Canadian dollars
Manufacturing,49493.2
Real estate and rental and leasing,41525.2
Health care and social assistance,30068.1
Public administration,26830.7
Construction,23445.1
"Professional, scientific and technical services",22558.3
Retail trade,22025.9
Finance and insurance,21925.2
Educational services,21706.1
Wholesale trade,19595.0
Transportation and warehousing,15522.3
Utilities,12878.7
Information and cultural industries,10952.8
"Administrative and support, waste management and remediation services",10152.9
Accommodation and food services,8855.8
"Mining, quarrying, and oil and gas extraction",8074.8
Other services (except public administration),7817.6
"Agriculture, forestry, fishing and hunting",7559.5
"Arts, entertainment and recreation",3138.4
Management of companies and enterprises,2244.1
