Month,Bitcoin price index in U.S. dollars
Jan 20,9388.88
Dec 19,7179.96
Nov 19,7551.24
Oct 19,9225.0
Sep 19,8085.71
Aug 19,9487.96
Jul 19,9506.7
Jun 19,10908.18
May 19,8287.04
Apr 19,5151.43
Mar 19,4081.22
Feb 19,3799.68
Jan 19,3441.03
Dec 18,3689.56
Nov 18,4241.74
Oct 18,6320.45
Sep 18,6604.97
Aug 18,7013.97
Jul 18,7726.89
Jun 18,6387.31
May 18,7487.19
Apr 18,9244.32
Mar 18,6926.02
Feb 18,10309.64
Jan 18,10166.51
Dec 17,13860.14
Nov 17,9916.54
Oct 17,4353.05
Sep 17,4349.29
Aug 17,4764.87
Jul 17,2873.83
Jun 17,2504.28
May 17,2328.91
Apr 17,1349.19
Mar 17,1079.75
Feb 17,1190.89
Jan 17,967.67
Dec 16,968.23
Nov 16,742.01
Oct 16,697.37
Sep 16,608.44
Aug 16,572.33
Jul 16,625.88
Jun 16,672.48
Apr 16,449.33
Mar 16,415.16
Feb 16,436.61
Jan 16,367.13
Dec 15,430.05
Nov 15,376.91
Oct 15,312.43
Sep 15,236.25
Aug 15,230.02
Jul 15,283.94
Jun 15,262.48
May 15,230.0
Apr 15,236.57
Mar 15,243.39
Feb 15,253.53
Jan 15,216.91
Dec 14,319.7
Nov 14,377.09
Oct 14,336.8
Sep 14,386.27
Aug 14,478.07
Jul 14,581.35
Jun 14,639.36
May 14,623.26
Apr 14,445.87
Mar 14,458.5
Feb 14,543.93
Jan 14,848.29
Dec 13,757.5
Nov 13,1124.76
Oct 13,198.23
Sep 13,123.1
Aug 13,129.46
Jul 13,97.91
Jun 13,97.51
May 13,128.82
Apr 13,139.23
Mar 13,93.03
Feb 13,33.38
Jan 13,20.41
Dec 12,13.51
Nov 12,12.56
Oct 12,11.2
Sep 12,12.4
Aug 12,10.16
Jul 12,9.35
