State,Black elected officials
Florida,56
Minnesota,49
Maine,44
Rhode Island,37
Alabama,33
New Mexico,30
Idaho,30
Kentucky,27
New York,25
District of Columbia,25
Massachusetts,21
Oregon,20
Tennessee,19
South Dakota,18
Vermont,18
Mississippi,18
New Hampshire,17
North Dakota,17
Connecticut,13
Arkansas,13
Illinois,12
California,9
West Virginia,8
Kansas,8
Maryland,7
Iowa,7
Nebraska,7
Ohio,6
Delaware,6
Indiana,5
New Jersey,3
Washington,3
Pennsylvania,3
Oklahoma,2
Michigan,2
Nevada,2
Colorado,2
Montana,2
Alaska,1
Hawaii,1
Arizona,1
Virginia,1
Wisconsin,1
Utah,1
Texas,0
Georgia,0
North Carolina,0
Louisiana,0
South Carolina,0
Wyoming,0
Missouri,0
