Month,Interest rate
Jan 20,4.56%
Dec 19,4.61%
Nov 19,4.59%
Oct 19,4.61%
Sep 19,4.61%
Aug 19,4.63%
Jul 19,4.66%
Jun 19,4.74%
May 19,4.72%
Apr 19,4.77%
Mar 19,4.77%
Feb 19,4.78%
Jan 19,4.77%
Dec 18,4.96%
Nov 18,4.93%
Oct 18,4.93%
Sep 18,4.79%
Aug 18,4.8%
Jul 18,4.83%
Jun 18,4.82%
May 18,4.64%
Apr 18,4.59%
Mar 18,4.52%
Feb 18,4.53%
Jan 18,4.51%
Dec 17,4.43%
Nov 17,4.29%
Oct 17,4.3%
Sep 17,4.29%
Aug 17,4.25%
Jul 17,4.51%
Jun 17,4.44%
May 17,4.38%
Apr 17,4.35%
Mar 17,4.38%
Feb 17,4.36%
Jan 17,4.35%
Dec 16,4.32%
Nov 16,4.27%
Oct 16,4.26%
Sep 16,4.23%
Aug 16,4.18%
Jul 16,4.17%
Jun 16,4.17%
May 16,4.25%
Apr 16,4.28%
Mar 16,4.33%
Feb 16,4.29%
Jan 16,4.33%
Dec 15,4.4%
Nov 15,4.33%
Oct 15,4.3%
Sep 15,4.32%
Aug 15,4.38%
Jul 15,4.37%
Jun 15,4.39%
May 15,4.37%
Apr 15,4.37%
Mar 15,4.31%
Feb 15,4.07%
Jan 15,4.07%
Dec 14,4.12%
Nov 14,4.06%
Oct 14,4.04%
Sep 14,4.02%
Aug 14,4.03%
Jul 14,4.03%
Jun 14,4.13%
May 14,4.13%
Apr 14,4.18%
Mar 14,4.23%
Feb 14,4.21%
Jan 14,4.25%
