Year,Inflation rate compared to previous year
2024*,2.54%
2023*,2.47%
2022*,2.33%
2021*,1.97%
2020*,1.82%
2019*,1.6%
2018,1.96%
2017,1.97%
2016,1.25%
2015,1.51%
2014,2.51%
2013,2.45%
2012,1.69%
2011,3.36%
2010,2.86%
2009,1.77%
2008,4.35%
2007,2.36%
2006,3.55%
2005,2.66%
2004,2.34%
2003,2.73%
2002,3.05%
2001,4.41%
2000,4.46%
1999,1.41%
1998,0.86%
1997,0.23%
1996,2.65%
1995,4.58%
1994,1.97%
1993,1.75%
1992,0.97%
1991,3.31%
1990,7.23%
1989,7.58%
1988,7.27%
1987,8.53%
1986,9.05%
1985,6.74%
1984,3.96%
