Month,Inflation rate
Jan '20,1.4%
Dec '19,1.7%
Nov '19,2.1%
Oct '19,1.3%
Sep '19,1.8%
Aug '19,1.8%
Jul '19,1.4%
Jun '19,1.6%
May '19,1%
Apr '19,0.7%
Mar '19,0.8%
Feb '19,1.1%
Jan '19,0.9%
Dec '18,0.7%
Nov '18,0.5%
Oct '18,0.9%
Sep '18,1.5%
Aug '18,2.5%
Jul '18,2.3%
Jun '18,2%
May '18,2.3%
Apr '18,2.7%
Mar '18,3%
Feb '18,3%
Jan '18,3.7%
Dec '17,3.9%
Nov '17,4.1%
Oct '17,4%
Sep '17,3%
Aug '17,2.1%
Jul '17,2.6%
Jun '17,2.3%
May '17,2.1%
Apr '17,1.5%
Mar '17,1.2%
Feb '17,0.2%
Jan '17,-0.5%
Dec '16,-1.1%
Nov '16,-2%
Oct '16,-2.4%
Sep '16,-2.3%
Aug '16,-2.2%
Jul '16,-2.6%
Jun '16,-2.9%
May '16,-2.8%
Apr '16,-2.5%
Mar '16,-2.7%
Feb '16,-2.3%
Jan '16,-2.6%
Dec '15,-2.9%
Nov '15,-2.4%
Oct '15,-2.7%
Sep '15,-2.3%
Aug '15,-2.4%
Jul '15,-2.7%
Jun '15,-2.2%
May '15,-1.8%
Apr '15,-2.8%
Mar '15,-3%
