Month,Price in British pounds per kilogram
Nov '19,8.05
Oct '19,8.92
Sep '19,7.53
Aug '19,7.81
Jul '19,6.92
Jun '19,9.63
May '19,10.72
Nov '18,12.23
Oct '18,7.73
Sep '18,8.18
Aug '18,8.23
Jul '18,7.91
Jun '18,4.7
Nov '17,11.0
Oct '17,9.28
Sep '17,8.1
Aug '17,8.6
Jul '17,7.03
Jun '17,5.79
May '17,4.69
Dec '16,9.55
Nov '16,10.76
Oct '16,8.45
Sep '16,7.12
Aug '16,7.04
Jul '16,5.56
Jun '16,5.06
Nov '15,7.3
Oct '15,8.82
Sep '15,7.85
Aug '15,7.64
Jul '15,6.65
Jun '15,6.87
May '15,7.84
Nov '14,6.22
Oct '14,7.43
Sep '14,5.97
Aug '14,7.48
Jul '14,5.8
June '14,5.09
May '14,8.64
