Year,GDP per capita in U.S. dollars
2024*,10257.18
2023*,9744.16
2022*,9187.82
2021*,8668.99
2020*,8193.82
2019*,7791.95
2018,7448.12
2017,6730.56
2016,6113.42
2015,5967.67
2014,6079.69
2013,6296.19
2012,5979.22
2011,5600.64
2010,5174.53
2009,4298.3
2008,4471.12
2007,4058.39
2006,3442.39
2005,2955.79
2004,2714.64
2003,2404.94
2002,2133.12
2001,1921.67
2000,2030.73
1999,2057.32
1998,1866.6
1997,2492.62
1996,3071.06
1995,2871.56
1994,2515.15
1993,2234.18
1992,2025.52
1991,1777.47
1990,1571.26
1989,1349.93
1988,1159.09
1987,969.08
1986,840.48
1985,775.78
1984,853.68
