Location and Date,Number of victims
"Volcanic eruption in the Philippines (June 9, 1991)",1036065
"Volcano eruption in Ecuador (August 14, 2015)",800000
"Volcanic eruption in Nicaragua (April 9, 1992)",300075
"Volcano eruption in Ecuador (August 14, 2006)",300013
"Volcano eruption in Indonesia (April 5, 1982)",300000
Volcano eruption in Indonesia (1969),250000
"Volcanic eruption in Comoros (November 24, 2005)",245000
"Volcanic eruption in the Philippines (Feb. 6, 1993)",165009
"Volcanic eruption in Papua New Guinea (September 19, 1994)",152002
"Volcanic eruption in Indonesia (October 24, 2002)",137140
