Country,Number of skiers in thousands
Germany,14607
France,8574
United Kingdom,6340
Poland,4937
Italy,4844
Russia,4275
Austria,2960
Switzerland,2959
Spain,2329
Czech Republic,2236
Sweden,1824
Finland,1264
Belgium,1253
Norway,1181
Ukraine,1114
Slovakia,979
Turkey,807
Denmark,667
Romania,588
Hungary,587
Bulgaria,349
Slovenia,299
Kazakhstan,266
Croatia,227
Greece,215
Serbia,211
Portugal,206
Latvia,194
Belarus,190
Bosnia and Herzegovina,175
Macedonia,156
Lithuania,141
Georgia,93
Azerbaijan,72
Estonia,63
Iceland,63
Armenia,59
Albania,29
Andorra,15
Liechtenstein,14
