Month,Number of available apps
Dec '19,2900000
Sep '19,2800000
Jun '19,2700000
Mar '19,2600000
Dec '18,2600000
Sep '18,2600000
Jun '18,3300000
Mar '18,3600000
Dec '17,3500000
Sep '17,3300000
Jun '17,3000000
Mar '17,2800000
Dec '16,2600000
Sep '16,2400000
Feb '16,2000000
Nov '15,1800000
Jul '15,1600000
Feb '15,1400000
Jul '14,1300000
Jul '13,1000000
Apr '13,850000
Oct '12,700000
Sep '12,675000
Jun '12,600000
May '12,500000
Feb '12,450000
Dec '11,400000
Aug '11,300000
Jul '11,250000
Apr '11,200000
Oct '10,100000
Jul '10,70000
Apr '10,38000
Mar '10,30000
Dec '09,16000
