Nhl Team,Payroll in million U.S. dollars
Dallas Stars,89
Columbus Blue Jackets,87
Nashville Predators,86
Detroit Red Wings,85
Vegas Golden Knights,84
Edmonton Oilers,84
Pittsburgh Penguins,83
St. Louis Blues,82
Winnipeg Jets,82
San Jose Sharks,82
Washington Capitals,82
Calgary Flames,81
Los Angeles Kings,81
Minnesota Wild,81
Boston Bruins,81
Vancouver Canucks,81
Toronto Maple Leafs,81
Anaheim Ducks,80
Florida Panthers,78
Tampa Bay Lightning,77
Buffalo Sabres,77
Montreal Canadiens,77
Chicago Blackhawks,75
New York Rangers,75
Philadelphia Flyers,73
Arizona Coyotes,73
Ottawa Senators,72
Colorado Avalanche,71
New York Islanders,70
New Jersey Devils,69
Carolina Hurricanes,66
