State,Unemployment rate
Alaska,6.1%
Mississippi,5.7%
District of Columbia,5.3%
West Virginia,5%
Louisiana,4.9%
New Mexico,4.7%
Arizona,4.6%
Pennsylvania,4.5%
Kentucky,4.3%
Washington,4.3%
Ohio,4.2%
New York,4%
California,3.9%
Michigan,3.9%
Delaware,3.9%
Nevada,3.8%
Connecticut,3.7%
North Carolina,3.7%
Oregon,3.7%
Wyoming,3.7%
Illinois,3.7%
Arkansas,3.6%
Texas,3.5%
New Jersey,3.5%
Maryland,3.5%
Rhode Island,3.5%
Montana,3.4%
Wisconsin,3.4%
Oklahoma,3.4%
Minnesota,3.3%
Tennessee,3.3%
Missouri,3.3%
Georgia,3.2%
South Dakota,3.2%
Kansas,3.2%
Indiana,3.2%
Nebraska,3.1%
Florida,3%
Maine,2.9%
Idaho,2.9%
Massachusetts,2.8%
Alabama,2.7%
Iowa,2.7%
New Hampshire,2.6%
Hawaii,2.6%
Virginia,2.6%
Colorado,2.5%
North Dakota,2.4%
Utah,2.3%
South Carolina,2.3%
Vermont,2.3%
