State,Number of residents in millions
California,39.51
Texas,29.0
Florida,21.48
New York,19.45
Pennsylvania,12.8
Illinois,12.67
Ohio,11.69
Georgia,10.62
North Carolina,10.49
Michigan,9.99
New Jersey,8.88
Virginia,8.54
Washington,7.61
Arizona,7.28
Massachusetts,6.89
Tennessee,6.83
Indiana,6.73
Missouri,6.14
Maryland,6.05
Wisconsin,5.82
Colorado,5.76
Minnesota,5.64
South Carolina,5.15
Alabama,4.9
Louisiana,4.65
Kentucky,4.47
Oregon,4.22
Oklahoma,3.96
Connecticut,3.57
Utah,3.21
Iowa,3.16
Nevada,3.08
Arkansas,3.02
Mississippi,2.98
Kansas,2.91
New Mexico,2.1
Nebraska,1.93
West Virginia,1.79
Idaho,1.79
Hawaii,1.42
New Hampshire,1.36
Maine,1.34
Montana,1.07
Rhode Island,1.06
Delaware,0.97
South Dakota,0.88
North Dakota,0.76
Alaska,0.73
District of Columbia,0.71
Vermont,0.62
Wyoming,0.58
