Month,Number of transactions in millions
Aug '19,225.06
Jul '19,225.67
Jun '19,220.66
May '19,231.7
Apr '19,220.25
Mar '19,231.81
Feb '19,206.8
Jan '19,209.31
Dec '18,234.5
Nov '18,236.63
Oct '18,243.09
Sep '18,240.09
Aug '18,250.49
Jul '18,252.72
Jun '18,256.68
May '18,259.35
Apr '18,241.72
Mar '18,251.39
Feb '18,222.92
Jan '18,228.02
Dec '17,253.92
Nov '17,255.31
Oct '17,262.83
Sep '17,262.14
Aug '17,266.03
Jul '17,269.37
Jun '17,263.68
May '17,269.46
Apr '17,261.98
Mar '17,269.23
Feb '17,234.39
Jan '17,236.86
Dec '16,269.31
Nov '16,261.95
Oct '16,276.82
Sep '16,270.71
Aug '16,269.18
Jul '16,275.11
Jun '16,263.21
May '16,271.7
Apr '16,263.89
Mar '16,264.01
Feb '16,243.28
Jan '16,241.62
Dec '15,266.5
Nov '15,259.68
Oct '15,280.7
Sep '15,264.14
Aug '15,269.9
Jul '15,276.18
Jun '15,267.46
May '15,277.0
Apr '15,261.11
Mar '15,263.35
Feb '15,235.16
Jan '15,241.49
Dec '14,261.87
Nov '14,263.64
Oct '14,275.16
Sep '14,265.26
Aug '14,268.1
Jul '14,272.3
Jun '14,263.61
May '14,277.01
Apr '14,259.27
Mar '14,268.43
Feb '14,233.15
Jan '14,241.72
