Company,Sales in billion U.S. dollars
Expedia Inc.,72.4
The Priceline Group,68.1
American Express Global Business Travel,31.1
BCD Travel,24.6
Carlson Wagonlit Travel,22.4
HRG North America,16.0
Flight Centre Travel Group USA,14.4
American Express Travel,4.9
Travel Leaders Group,4.39
Fareportal,4.13
Corporate Travel Management,3.87
AAA Travel,3.74
Travel and Transport,2.86
Altour,2.58
Direct Travel,2.5
Frosch,1.75
Omega World Travel,1.4
JTB Americas Group,1.36
World Travel,1.2
Ovation Travel Group,1.14
