Year,GDP per capita in U.S. dollars
2024*,12177.22
2023*,11835.19
2022*,11138.8
2021*,10462.47
2020*,9730.91
2019*,9887.79
2018,11658.22
2017,14588.01
2016,12772.87
2015,14895.32
2014,13208.83
2013,14488.83
2012,13889.79
2011,12787.81
2010,10412.95
2009,8337.81
2008,9146.79
2007,7315.73
2006,5976.08
2005,5163.55
2004,4314.4
2003,3648.06
2002,2898.29
2001,7851.66
2000,8386.59
1999,8452.88
1998,9005.38
1997,8918.83
1996,8385.15
1995,8053.12
1994,8125.91
1993,7558.5
1992,7420.32
1991,6233.39
1990,4709.66
1989,2779.87
1988,4386.53
1987,3790.75
1986,3739.41
1985,3149.68
1984,4241.38
