Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,88.79
"Finance, insurance, real estate, rental, and leasing",76.55
Professional and business services,65.72
Government and government enterprises,47.6
"Educational services, health care, and social assistance",44.72
Wholesale trade,32.33
Retail trade,31.09
Construction,16.71
"Arts, entertainment, recreation, accommodation, and food services",15.81
Information,14.24
Transportation and warehousing,11.63
Other services (except government and government enterprises),10.14
Utilities,9.24
"Agriculture, forestry, fishing, and hunting",4.23
"Mining, quarrying, and oil and gas extraction",2.36
