Response,Share of respondents
A feeling of powerlessness in my ability to respond to abuse or harassment online,66%
Not being able to sleep well,63%
Lower self-esteem or a loss of self confidence,61%
A feeling of apprehension when thinking about using the internet or social media,58%
Less able to focus on everyday tasks,56%
"Experiencing panic attacks, anxiety or stress",55%
A feeling of isolation or a need to withdraw into yourself,54%
A feeling of apprehension when receiving emails or social media notifications,54%
Experiencing mood swings,53%
Not being able to accomplish what you usually would on a typical day,46%
Being unable to concentrate for long periods of time,46%
Less able to make day-to-day decisions,36%
