Year,GDP per capita in U.S. dollars
2024*,1411.77
2023*,1328.18
2022*,1248.69
2021*,1161.57
2020*,1066.2
2019*,953.18
2018*,852.88
2017*,817.49
2016,777.29
2015,702.77
2014,613.1
2013,535.26
2012,493.32
2011,379.38
2010,360.83
2009,397.81
2008,334.15
2007,249.21
2006,198.34
2005,165.22
2004,138.55
2003,120.87
2002,116.79
2001,125.72
2000,129.68
1999,128.21
1998,134.23
1997,152.17
1996,155.12
1995,152.66
1994,151.97
1993,176.47
1992,293.35
1991,287.65
1990,269.08
1989,262.23
1988,257.56
1987,256.7
1986,247.98
1985,246.51
1984,217.42
