State / Territory,"Reported violent crime rate per 100,000 population"
District of Columbia,995.9
Alaska,885.0
New Mexico,856.6
Tennessee,623.7
Arkansas,543.6
Nevada,541.1
Louisiana,537.5
Alabama,519.6
Missouri,502.1
South Carolina,488.3
Arizona,474.9
Maryland,468.7
Oklahoma,466.1
Michigan,449.4
California,447.4
Kansas,439.0
Delaware,423.6
Texas,410.9
South Dakota,404.7
Illinois,404.1
Colorado,397.2
Florida,384.9
Indiana,382.3
North Carolina,377.6
Montana,374.1
New York,350.5
Massachusetts,338.1
Georgia,326.6
Virginia,311.5
Pennsylvania,306.0
West Virginia,295.4
Washington,289.9
Oregon,285.5
Nebraska,284.8
North Dakota,280.6
Ohio,279.9
Iowa,250.1
Hawaii,248.6
Wyoming,237.5
Mississippi,234.4
United States,233.1
Idaho,227.1
Minnesota,220.4
Rhode Island,219.1
Wisconsin,212.2
Kentucky,211.9
New Jersey,208.1
Connecticut,207.4
Vermont,200.0
New Hampshire,173.2
Utah,172.0
Maine,112.1
