Telecommunication Companies,Number of employees
Telia Company AB,24468
Eltel AB,8781
Tele2 AB,6924
Relacom Management AB,2667
Tele2 Sverige AB,2344
Eltel Networks Infranet AB,2125
Telenor Sverige AB,1530
Com Hem AB,883
Transtema Network Services AB,739
Svenska Rymd AB,465
CLX Communications AB,340
Transtema Group AB,294
TelaVox AB,229
A3 Allmänna IT - och Telekom AB,150
Verizon Sweden AB,124
Telenor Connexion AB,116
Viafield Sweden AB,95
IT-Mästaren Mitt AB,76
Rebtel Owners AB,75
Reb Tel Networks AB,74
