Month,Units sold
Oct '19,404
Sep '19,961
Aug '19,436
Jul '19,717
Jun '19,1324
May '19,1010
Apr '19,739
Mar '19,1333
Feb '19,185
Jan '19,293
Dec ´18,289
Nov ´18,562
Oct '18,374
Sep '18,945
Aug '18,500
Jul '18,697
Jun '18,1329
May '18,1014
Apr '18,840
Mar '18,1348
Feb '18,189
Jan '18,404
Dec ´17,366
Nov ´17,396
Oct ´17,504
Sep '17,1005
Aug '17,532
Jul '17,735
Jun '17,1325
May '17,1149
Apr '17,980
Mar '17,1539
Feb '17,212
Jan '17,371
Nov ´16,466
Oct '16,507
Sep '16,1286
Aug '16,478
Jul '16,759
Jun ´16,1374
May '16,1100
Apr '16,945
Mar '16,1340
Feb '16,213
Jan '16,336
Dec '15,224
Nov '15,365
Oct '15,442
Sep '15,1000
Aug '15,474
Jul '15,706
Jun '15,1239
May '15,915
Apr '15,856
Mar '15,1496
Feb '15,190
Jan '15,352
Dec '14,227
Nov '14,302
Oct '14,411
