Year,Gross domestic product in billion U.S. dollars
2024*,222.13
2023*,211.57
2022*,201.49
2021*,192.24
2020*,180.5
2019*,170.41
2018,161.18
2017,139.84
2016,126.05
2015,123.07
2014,140.08
2013,135.22
2012,127.86
2011,140.78
2010,130.92
2009,130.59
2008,158.0
2007,139.85
2006,115.3
2005,113.04
2004,104.07
2003,85.33
2002,67.72
2001,53.82
2000,47.31
1999,49.17
1998,48.77
1997,47.29
1996,46.66
1995,46.42
1994,43.16
1993,40.12
1992,38.73
1991,34.75
1990,34.36
1989,30.32
1988,29.7
1987,27.14
1986,24.69
1985,21.44
1984,21.17
