Month,Units sold
Dec 19,6123
Nov 19,4651
Oct 19,3367
Sep 19,12691
Aug 19,1819
Jul 19,2983
Jun 19,8662
May 19,3952
Apr 19,2502
Mar 19,12992
Feb 19,1891
Jan 19,3251
Dec 18,7211
Nov 18,5269
Oct 18,5116
Sep 18,10082
Aug 18,1867
Jul 18,3351
Jun 18,8176
May 18,5094
Apr 18,3846
Mar 18,12352
Feb 18,1786
Jan 18,2871
Dec 17,7127
Nov 17,6094
Oct 17,3144
Sep 17,12282
Aug 17,1524
Jul 17,3007
Jun 17,9015
May 17,4972
Apr 17,3734
Mar 17,12942
Feb 17,2045
Jan 17,2280
Dec 16,7383
Nov 16,5093
Oct 16,4792
Sep 16,13119
Aug 16,1608
Jul 16,3026
