Year,Gross domestic product in billion U.S. dollars
2024*,298.84
2023*,282.82
2022*,267.69
2021*,253.44
2020*,240.18
2019*,228.99
2018,225.37
2017,214.19
2016,194.39
2015,191.32
2014,202.31
2013,202.12
2012,192.93
2011,170.84
2010,148.82
2009,121.36
2008,121.78
2007,102.19
2006,87.89
2005,74.97
2004,66.71
2003,59.05
2002,54.45
2001,51.61
2000,51.01
1999,49.38
1998,54.6
1997,56.91
1996,54.09
1995,52.14
1994,43.79
1993,34.33
1992,35.38
1991,33.99
1990,28.33
1989,40.7
1988,32.98
1987,41.68
1986,25.24
1985,16.82
1984,19.44
