Year,Inflation rate compared to previous year
2024*,8%
2023*,8%
2022*,8%
2021*,8%
2020*,10%
2019*,9.95%
2018,6.99%
2017,6.58%
2016,17.87%
2015,10.11%
2014,7.81%
2013,6.98%
2012,6.58%
2011,8.66%
2010,8.5%
2009,13.39%
2008,12.45%
2007,10.66%
2006,9.02%
2005,18.33%
2004,17.97%
2003,21.4%
2002,22.24%
2001,21.36%
2000,26.1%
1999,26.79%
1998,24.46%
1997,24.41%
1996,43.1%
1995,34.91%
1994,54.61%
1993,183.26%
1992,165.73%
1991,97.7%
1990,109.56%
1989,128.29%
1988,54.04%
1987,47.03%
1986,54.8%
1985,37.43%
1984,20.02%
