Year,Gross domestic product in billion U.S. dollars
2024*,548.05
2023*,499.61
2022*,455.37
2021*,415.24
2020*,383.48
2019*,356.81
2018,330.91
2017,313.62
2016,304.9
2015,292.77
2014,284.59
2013,271.84
2012,250.09
2011,224.14
2010,199.59
2009,168.49
2008,173.6
2007,149.36
2006,122.21
2005,103.07
2004,91.37
2003,83.91
2002,81.36
2001,76.26
2000,81.02
1999,83.0
1998,72.21
1997,91.23
1996,91.79
1995,82.12
1994,71.0
1993,60.24
1992,58.7
1991,50.32
1990,49.1
1989,47.29
1988,42.08
1987,36.87
1986,33.17
1985,34.0
1984,34.86
