Theme / Amusement Park Name,Attendance in millions
"Magic Kingdom (Walt Disney World), USA",20.86
"Disneyland Anaheim, USA",18.66
"Tokyo Disneyland, Japan",17.91
"Tokyo Disney Sea, Japan",14.65
"Universal Studios, Japan",14.3
"Disney's Animal Kingdom, USA",13.75
"Epcot (Walt Disney World), USA",12.44
"Shanghai Disneyland, China",11.8
"Disney's Hollywood Studios, USA",11.26
"Chimelong Ocean Kingdom, China",10.83
"Universal Studios Orlando, USA",10.71
"Disney's California Adventure, USA",9.86
"Disneyland Park, France",9.84
"Islands of Adventure, USA",9.79
"Universal Studios Hollywood, USA",9.15
"Hong Kong Disneyland, Hong Kong S.A.R.",6.7
"Lotte World, South Korea",5.96
"Nagashima Spa Land, Japan",5.92
"Everland, South Korea",5.85
"Ocean Park, Hong Kong S.A.R.",5.8
"Europa Park, Germany",5.72
"De Efteling, the Netherlands",5.4
"Walt Disney Studios Park, France",5.3
"Tivoli Gardens Copenhagen, Denmark",4.85
"Chimelong Paradise, China",4.68
