Year,GDP per capita in U.S. dollars
2024*,45934.7
2023*,44311.93
2022*,42842.47
2021*,41504.89
2020*,40391.84
2019*,41030.23
2018,42579.82
2017,39976.78
2016,40657.86
2015,44494.86
2014,47003.88
2013,42981.25
2012,42023.1
2011,41649.66
2010,39122.19
2009,38601.32
2008,47469.38
2007,50315.56
2006,44403.81
2005,41842.7
2004,40111.75
2003,34302.42
2002,29912.99
2001,27510.33
2000,28043.87
1999,28435.06
1998,28077.34
1997,26647.95
1996,24256.46
1995,23026.71
1994,21344.25
1993,19925.66
1992,22305.36
1991,21671.88
1990,20808.23
1989,17617.85
1988,17364.25
1987,14294.99
1986,11551.07
1985,9491.99
1984,8943.27
