Nba Teams,Concession stand price in U.S. dollars
Miami Heat,7.0
New York Knicks,6.5
Chicago Bulls,6.25
Houston Rockets,6.0
Portland Trail Blazers,6.0
Brooklyn Nets,6.0
Golden State Warriors,6.0
Los Angeles Clippers,6.0
Atlanta Hawks,6.0
Los Angeles Lakers,5.75
Boston Celtics,5.5
Toronto Raptors,5.43
Indiana Pacers,5.25
Philadelphia 76ers,5.25
Minnessota Timberwolves,5.0
San Antonio Spurs,5.0
Milwaukee Bucks,5.0
NBA League Average,4.96
Denver Nuggets,4.75
Charlotte Hornets,4.5
Detroit Pistons,4.5
Orlando Magic,4.25
Washington Wizards,4.0
Memphis Grizzlies,4.0
Sacramento Kings,4.0
New Orleans Pelicans,4.0
Dallas Mavericks,3.5
Oklahoma City Thunder,3.5
Phoenix Suns,3.5
Utah Jazz,3.5
Cleveland Cavaliers,3.0
