Country,Index value*
Hong Kong,90.2
Singapore,89.4
New Zealand,84.4
Switzerland,81.9
Australia,80.9
Ireland,80.5
United Kingdom,78.9
Canada,77.7
United Arab Emirates,77.6
Taiwan,77.3
Iceland,77.1
Netherlands,76.8
United States,76.8
Denmark,76.7
Estonia,76.6
Georgia,75.9
Luxembourg,75.9
Chile,75.4
Sweden,75.2
Finland,74.9
Lithuania,74.2
Malaysia,74.0
Czech Republic,73.7
Germany,73.5
Mauritius,73.0
Norway,73.0
Israel,72.8
Qatar,72.6
South Korea,72.3
Japan,72.1
Austria,72.0
Macedonia,71.1
Rwanda,71.1
Macau,71.0
Latvia,70.4
Botswana,69.5
Bulgaria,69.0
Saint Lucia,68.7
Jamaica,68.6
Malta,68.6
Romania,68.6
Uruguay,68.6
Thailand,68.3
Cyprus,68.1
Peru,67.8
Poland,67.8
Armenia,67.7
Belgium,67.3
Colombia,67.3
Panama,67.2
