European University,Times Higher Education score
University of Oxford (UK),95.4
University of Cambridge (UK),94.4
Imperial College London (UK),89.8
ETH Zürich – Swiss Federal Institute of Technology Zürich (CH),88.3
University College London (UK),87.1
London School of Economics and Political Science (UK),81.3
University of Edinburgh (UK),79.4
Ludwig-Maximilians-Universität München (GE),77.8
King's College London (UK),75.7
École Polytechnique Fédérale de Lausanne (CH),75.4
Karolinska Institute (SE),74.7
Technical University of Munich (GE),74.1
Heidelberg University (GE),73.5
Paris Sciences et Lettres – PSL Research University,73.2
KU Leuven (BE),73.2
University of Manchester (UK),69.7
Wageningen University and Research Center (NE),69.4
University of Amsterdam (NE),68.1
Delft University of Technology (NE),66.7
Leiden University (NE),66.7
