Year,GDP in billion U.S. dollars
2024*,4631.76
2023*,4223.84
2022*,3847.97
2021*,3509.65
2020*,3202.18
2019*,2935.57
2018,2718.73
2017,2652.25
2016,2289.75
2015,2103.59
2014,2039.13
2013,1856.72
2012,1827.64
2011,1823.05
2010,1708.46
2009,1365.37
2008,1224.1
2007,1238.7
2006,949.12
2005,834.22
2004,721.59
2003,618.37
2002,523.77
2001,493.93
2000,476.64
1999,466.84
1998,428.77
1997,423.19
1996,399.79
1995,366.6
1994,333.01
1993,284.19
1992,293.26
1991,274.84
1990,326.61
1989,300.19
1988,299.65
1987,283.75
1986,252.75
1985,237.62
1984,215.56
