City Name,Consumption in litres
Prague (Czech Republic),144
Warsaw (Poland),127
Krakow (Poland),127
Frankfurt (Germany),107
Munich (Germany),107
Berlin (Germany),107
Venice (Italy),106
Helsinki (Finland),105
Madrid (Spain),104
Seville (Spain),104
Malaga (Spain),104
Barcelona (Spain),104
Vienna (Austria),104
Dublin (Ireland),93
The Hague (Netherlands),86
Luxembourg City (Luxembourg),83
Reykjavik (Iceland),82
Brussels (Belgium),81
Dubrovnik (Croatia),80
Ljubljana (Slovenia),78
Bucharest (Romania),74
Sofia (Bulgaria),72
Bratislava (Slovakia),70
Manchester (United Kingdom),68
Edinburgh (United Kingdom),68
Leeds (United Kingdom),68
London (United Kingdom),68
Amsterdam (Netherlands),68
Liverpool (United Kingdom),68
Copenhagen (Denmark),65
Budapest (Hungary),59
Zurich (Switzerland),56
Lausanne (Switzerland),56
Geneva (Switzerland),56
Oslo (Norway),47
Lisbon (Portugal),46
Stockholm (Sweden),45
Strasbourg (France),43
Athens (Greece),35
Nice (France),30
Paris (France),30
Milan (Italy),29
Rome (Italy),29
