Company (Country of origin),Billion U.S. dollars
Schwarz Unternehmenstreuhand KG (Germany),111.77
Aldi Einkauf GmbH & Co. oHG (Germany)*,98.29
Tesco PLC (UK),73.96
Ahold Delhaize (formerly Koninklijke Ahold N.V. and Delhaize Group SA [Netherlands])**,72.31
Auchan Holding SA (France)**,58.61
Edeka Group (Germany)**,57.48
Rewe Combine (Germany)**,49.71
Casino Guichard-Perrachon S.A. (France)**,42.6
Centres Distributeurs E. Leclerc (France)* **,41.54
Metro AG (Germany)**,40.96
The IKEA Group (INGKA Holding B.V.) (Netherlands),37.43
J Sainsbury plc (UK),36.6
LVMH Moët Hennessy-Louis Vuitton S.A. (France),33.29
ITM Developpement International (Intermarche; France)* **,31.85
"Inditex, S.A. (Spain)**",28.89
Migros-Genossenschafts Bund (Switzerland)* **,24.53
Ceconomy AG (Germany),24.43
"Mercadona, SA (Spain)",23.68
Coop Group (Switzerland)* **,22.52
Wm Morrison Supermarkets PLC (UK),22.43
