Year,GDP in billion U.S. dollars
2024*,3149.85
2023*,3024.98
2022*,2911.12
2021*,2806.24
2020*,2716.53
2019*,2743.59
2018,2828.83
2017,2640.07
2016,2669.11
2015,2897.06
2014,3036.31
2013,2755.36
2012,2677.08
2011,2635.8
2010,2455.31
2009,2403.36
2008,2934.75
2007,3085.3
2006,2700.95
2005,2527.84
2004,2404.7
2003,2045.69
2002,1775.81
2001,1626.22
2000,1651.39
1999,1668.68
1998,1641.82
1997,1553.95
1996,1410.85
1995,1336.13
1994,1235.02
1993,149.99
1992,1284.45
1991,1244.81
1990,1191.02
1989,1005.57
1988,988.3
1987,812.01
1986,654.76
1985,536.81
1984,504.48
