Us University,Tuition and other fees
Duke University - Fuqua School of Business,117604
University of Pennsylvania - The Wharton School,136420
University of Chicago - Booth School of Business,123354
Stanford University - Stanford Graduate School of Business,126750
Columbia University - Columbia Business School,133135
Yale University - Yale School of Managment,123373
Northwestern University - Kellogg School of Management,124642
Harvard University - Harvard Business School,140511
"University of Michigan, Ann Arbor - Ross School of Business",109557
Carnegie Mellon University - Tepper School of Business,118004
"University of California, Los Angeles - Anderson School of Management",102318
"University of North Carolina, Chapel Hill - Kenan-Flagler Business School",80078
Cornell University - Johnson Graduate School of Management,116384
Massachusetts Institute of Technology - Sloan School of Management,122880
Dartmouth College - Tuck School of Business,64680
Indiana University - Kelley School of Business,55202
University of Maryland - Smith School of Business,82626
Emory University - Goizueta Business School,97438
"University of California, Berkeley - Haas School of Business",103308
University of Virginia - Darden School of Business,104850
