Year,Number of Grammy Awards received
How to Dismantle an Atomic Bomb by U2,9
Supernatural by Santana,9
Come Away With Me by Norah Jones,8
Genius Loves Company by Ray Charles,8
Thriller by Michael Jackson,8
All That You Can't Leave Behind by U2,7
Back on the Block by Quincy Jones,7
21 by Adele,7
24K Magic - Bruno Mars,7
Back To Black by Amy Winehouse,6
The Blueprint 3 by Jay-Z,6
Bridge Over Troubled Water by Simon & Garfunkel,6
Raising Sand by Robert Plant & Alison Krauss,6
The Return of Roger Miller by Roger Miller,6
Taking the Long Way by Dixie Chicks,6
To Pimp a Butterfly by Kendrick Lamar,6
Toto IV by Toto,6
Unforgettable...with Love by Natalie Cole,6
Unplugged by Eric Clapton,6
