Online products and services,Sales in billion South Korean won
Travel and transportation services,16159.87
Clothing,13899.1
"Home electronic appliances, electronic and telecommunication equipment",11591.19
Food and beverages,10532.73
Cosmetics,9840.41
Household goods,8774.23
Computer andcomputer-related appliances,5389.48
Food services,5273.12
Sports and leisure appliances,3798.51
Goods for infants and children,3610.68
Furniture,3133.49
"Agricultural, livestockand fishery products",2948.56
Others,2801.7
Fashion and accessories,2366.92
Luggage,2239.67
eCoupon services,2108.68
Cultural and leisure services,1995.48
Footwear,1893.16
Books,1821.13
Car parts and accessories,1031.0
Pet products,860.25
Office appliances and stationery,830.92
Miscellaneous services,829.42
