Country,Points
USA,2180
Germany,2059
Netherlands,2037
France,2029
England,2027
Sweden,2021
Canada,1976
Australia,1965
Korea DPR,1940
Brazil,1938
Japan,1937
Norway,1917
Spain,1899
Italy,1891
Denmark,1839
China PR,1838
Iceland,1822
Switzerland,1815
Belgium,1813
Korea Republic,1805
Austria,1793
Scotland,1791
New Zealand,1766
Ukraine,1708
Russia,1704
Colombia,1703
Mexico,1699
Czech Republic,1679
Poland,1675
Portugal,1671
Finland,1668
Wales,1667
Republic of Ireland,1666
Argentina,1664
Vietnam,1659
Nigeria,1643
Costa Rica,1630
Chile,1621
Thailand,1616
Chinese Taipei,1590
Cameroon,1552
Romania,1548
Serbia,1546
Uzbekistan,1542
Hungary,1525
Myanmar,1521
Slovakia,1500
Paraguay,1494
South Africa,1486
Papua New Guinea,1479
