Year,Gross domestic product in billion U.S. dollars
2024*,2238.47
2023*,2122.74
2022*,2013.45
2021*,1910.94
2020*,1812.46
2019*,1730.91
2018,1712.48
2017,1649.93
2016,1530.02
2015,1556.51
2014,1805.75
2013,1847.21
2012,1828.69
2011,1792.83
2010,1617.27
2009,1374.62
2008,1552.93
2007,1468.82
2006,1319.31
2005,1173.14
2004,1026.67
2003,895.57
2002,760.64
2001,739.0
2000,744.77
1999,678.4
1998,634.01
1997,654.98
1996,630.6
1995,605.92
1994,579.92
1993,579.06
1992,594.36
1991,612.51
1990,596.08
1989,567.21
1988,509.37
1987,433.13
1986,379.0
1985,366.19
1984,356.72
