Month,Units sold
Dec 19,4980
Nov 19,5998
Oct 19,6160
Sep 19,16386
Aug 19,3452
Jul 19,7115
Jun 19,8527
May 19,7279
Apr 19,7472
Mar 19,18345
Feb 19,3281
Jan 19,8328
Dec 18,3810
Nov 18,6916
Oct 18,6312
Sep 18,16299
Aug 18,3552
Jul 18,7369
Jun 18,9162
May 18,6721
Apr 18,6872
Mar 18,18094
Feb 18,3075
Jan 18,7582
Dec 17,3773
Nov 17,5978
Oct 17,6900
Sep 17,15706
Aug 17,3060
Jul 17,7155
Jun 17,7972
May 17,6682
Apr 17,6291
Mar 17,18801
Feb 17,3243
Jan 17,7661
Dec 16,3788
Nov 16,6037
Oct 16,6590
Sep 16,15340
Aug 16,3849
Jul 16,7417
