Industry,Share of GDP
Real estate and rental and leasing,15.74%
Public administration,12.1%
Health care and social assistance,10.86%
Manufacturing,7.78%
Educational services,6.91%
Retail trade,6.84%
Finance and insurance,5.67%
Construction,5.51%
"Professional, scientific and technical services",4.52%
Transportation and warehousing,3.59%
Wholesale trade,3.5%
"Agriculture, forestry, fishing and hunting",3.2%
Information and cultural industries,3.11%
Accommodation and food services,2.67%
Utilities,2.19%
Other services (except public administration),2.11%
"Administrative and support, waste management and remediation services",2.1%
"Mining, quarrying, and oil and gas extraction",0.69%
"Arts, entertainment and recreation",0.61%
Management of companies and enterprises,0.31%
