Month,Revenue in million U.S. dollars
Avengers: Endgame*,2797.8
Avatar,2789.97
Titanic,2187.5
Star Wars: The Force Awakens,2068.22
Avengers: Infinity War,2048.36
Jurassic World,1670.4
The Lion King (2019),1654.65
Marvel's The Avengers,1518.81
Furious 7,1515.05
Avengers : Age of Ultron,1402.81
Black Panther,1346.91
Harry Potter andthe Deathly Hallows (Part II),1341.93
Star Wars: The Last Jedi,1332.54
Jurassic World: Fallen Kingdom,1308.47
Frozen,1274.22
Beauty and the Beast (2017),1263.52
Incredibles 2,1242.81
The Fate of the Furious,1236.01
Iron Man 3,1214.81
Minions,1159.4
