Year,Inflation rate compared to previous year
2024*,11%
2023*,11%
2022*,11.42%
2021*,12.42%
2020*,12.6%
2019*,15.68%
2018,16.33%
2017,11.14%
2016,7.78%
2015,7.67%
2014,8.86%
2013,7.49%
2012,8.89%
2011,6.47%
2010,8.57%
2009,6.25%
2008,10.44%
2007,8.76%
2006,9.6%
2005,8.18%
2004,8.6%
2003,25.34%
2002,45.13%
2001,54.25%
2000,55.04%
1999,64.87%
1998,84.72%
1997,85.65%
1996,80.24%
1995,89.57%
1994,104.54%
1993,66.1%
1992,70.07%
1991,65.97%
1990,60.32%
1989,63.27%
1988,73.67%
1987,38.85%
1986,34.62%
1985,44.51%
1984,48.38%
