Year,Inflation rate compared to previous year
2024*,2.17%
2023*,2.17%
2022*,2.18%
2021*,2.32%
2020*,2.64%
2019*,1.85%
2018,2.23%
2017,1.55%
2016,-0.35%
2015,1.88%
2014,1.18%
2013,0.44%
2012,1.91%
2011,3.06%
2010,1.62%
2009,1.67%
2008,4.43%
2007,2.41%
2006,1.96%
2005,1.82%
2004,1.16%
2003,3.66%
2002,1.5%
2001,2.36%
2000,1.73%
1999,1.12%
1998,1.21%
1997,0.56%
1996,1.26%
1995,2.02%
1994,1.37%
1993,2.75%
1992,5.58%
1991,7.3%
1990,4.63%
1989,5.41%
1988,4.05%
1987,5.99%
1986,5.41%
1985,4.62%
1984,3.97%
