State,Percentage of individuals accessing the internet anywhere
Washington,88.5%
New Hampshire,88.3%
Utah,87.7%
Idaho,87.6%
Wisconsin,87.5%
Nevada,87.5%
Oregon,87.4%
Illinois,86.5%
Wyoming,86%
Minnesota,85.6%
Virginia,85.2%
Maine,85.1%
Georgia,84.7%
Iowa,84.3%
Florida,84.2%
District of Columbia,84.1%
Maryland,84%
Arizona,83.9%
California,83.8%
Hawaii,83.6%
Alaska,83.6%
Missouri,83.3%
New Mexico,83.3%
Rhode Island,83.1%
Vermont,83.1%
Nebraska,83.1%
Louisiana,82.8%
South Carolina,82.7%
New Jersey,82.4%
Connecticut,82.4%
North Dakota,82.4%
Kansas,82.2%
Texas,81.7%
Indiana,81.5%
North Carolina,81.4%
Michigan,81.2%
New York,80.2%
Oklahoma,80.2%
Arkansas,80.1%
Delaware,80.1%
Colorado,79.5%
Ohio,79.4%
Kentucky,79%
South Dakota,79%
Alabama,78.7%
Mississippi,78.5%
Massachussetts,78.4%
Tennessee,78.2%
Pennsylvania,78.2%
Montana,78.1%
West Virginia,78%
