Month,Exchange rate
Feb '20,0.85
Jan '20,0.84
Dec '19,0.85
Nov '19,0.85
Oct '19,0.86
Sep '19,0.89
Aug '19,0.91
Jul '19,0.92
Jun '19,0.9
May '19,0.89
Apr '19,0.86
Mar '19,0.86
Feb '19,0.86
Jan '19,0.88
Dec '18,0.89
Nov '18,0.89
Oct '18,0.89
Sep '18,0.89
Aug '18,0.9
Jul '18,0.89
Jun '18,0.89
May '18,0.88
Apr '18,0.88
Mar '18,0.87
Feb '18,0.88
Jan '18,0.88
Dec '17,0.89
Nov '17,0.88
Oct '17,0.88
Sep '17,0.88
Aug '17,0.92
Jul '17,0.89
Jun '17,0.88
May '17,0.87
Apr '17,0.84
Mar '17,0.86
Feb '17,0.85
Jan '17,0.86
Dec '16,0.84
Nov '16,0.87
Oct '16,0.89
Sep '16,0.86
Aug '16,0.85
Jul '16,0.84
Jun '16,0.83
May '16,0.76
Apr '16,0.78
Mar '16,0.79
Feb '16,0.79
Jan '16,0.76
Dec '15,0.73
Nov '15,0.7
Oct '15,0.72
Sep '15,0.74
Aug '15,0.73
Jul '15,0.7
Jun '15,0.71
May '15,0.72
Apr '15,0.73
Mar '15,0.73
Feb '15,0.73
Jan '15,0.75
Dec '14,0.78
Nov '14,0.8
Oct '14,0.78
Sep '14,0.78
Aug '14,0.8
Jul '14,0.79
Jun '14,0.8
May '14,0.81
Apr '14,0.82
Mar '14,0.83
Feb '14,0.83
Jan '14,0.82
