Universities in Finland,Number of students
University of Helsinki,31245
Aalto University,17452
University of Turku,16142
University of Eastern Finland,15636
University of Jyväskylä,13813
University of Tampere,13169
University of Oulu,12619
Tampere University of Technology,7844
Åbo Akademi University,5580
Lappeenranta University of Technology,5217
University of Vaasa,4962
University of Lapland,4340
Hanken school of Economics,2500
University of the Arts Helsinki,1935
National Defence University,975
