Month,Price in British pounds per kilogram
Nov '19,0.36
Oct '19,0.37
Sep '19,0.39
Aug '19,0.44
Jul '19,0.51
Jun '19,0.54
May '19,0.51
Apr '19,0.48
Mar '19,0.46
Feb '19,0.48
Jan '19,0.49
Dec '18,0.5
Nov '18,0.5
Oct '18,0.52
Sep '18,0.52
Aug '18,0.55
Jul '18,0.57
Jun '18,0.62
May '18,0.52
Apr '18,0.42
Mar '18,0.35
Feb '18,0.32
Jan '18,0.33
Dec '17,0.32
Nov '17,0.32
Oct '17,0.33
Sep '17,0.34
Aug '17,0.35
Jul '17,0.38
Jun '17,0.38
May '17,0.36
Apr '17,0.34
Mar '17,0.34
Feb '17,0.33
Jan '17,0.34
Dec '16,0.35
Nov '16,0.34
Oct '16,0.36
Sep '16,0.37
Aug '16,0.41
Jul '16,0.45
Jun '16,0.43
May '16,0.4
Apr '16,0.39
Mar '16,0.37
Feb '16,0.37
Jan '16,0.37
Dec '15,0.34
Nov '15,0.34
Oct '15,0.36
Sep '15,0.4
Aug '15,0.44
Jul '15,0.46
Jun '15,0.47
May '15,0.43
Apr '15,0.33
Mar '15,0.27
Feb '15,0.27
Jan '15,0.27
