Online Advertisements ,Number of shares in thousands
Shell – Best Day Of My Life #makethefuture,1017.53
Nintendo – First Look at Nintendo Switch,498.04
Microsoft – Introducing Surface Studio,387.03
Adidas – Football needs creators feat. Pogba,345.39
Dior – Dior J’adore – The Absolute Femininity,165.55
Emirates – Jennifer Aniston,152.19
Louis Vuitton – The Louis Vuitton Cruise 2017 Collection with Alicia Vikander,145.4
"LG Mobile – Everyday, Spectacular",125.47
HP – HP Sprocket,125.01
"Google – Pixel, Phone by Google",104.52
