Origin,Population in thousands
Mexican,36986661
Puerto Rican,5791453
Cuban,2363532
Salvadoran,2306774
Dominican (Dominican Republic),2082857
All other Hispanic or Latino,1731898
Guatemalan,1524743
Colombian,1228468
Honduran,963930
Spaniard,819527
Ecuadorian,717995
Peruvian,684345
Spanish,535322
Venezuelan,484445
Nicaraguan,434000
Argentinean,286346
Panamanian,206219
Chilean,172062
Costa Rican,154784
Bolivian,116646
Uruguayan,60013
Other Central American,45190
Paraguayan,25022
Other South American,23211
Spanish American,18188
