Year,Inflation rate compared to previous year
2024*,8%
2023*,8%
2022*,8%
2021*,9.29%
2020*,12.68%
2019*,14.6%
2018,13.83%
2017,10.69%
2016,6.63%
2015,9.57%
2014,7.4%
2013,8.07%
2012,24.13%
2011,33.23%
2010,8.13%
2009,8.48%
2008,44.37%
2007,17.25%
2006,13.56%
2005,11.66%
2004,3.22%
2003,17.76%
2002,1.65%
2001,-8.24%
2000,0.66%
1999,7.94%
1998,3.6%
1997,-6.42%
1996,0.92%
1995,13.35%
1994,1.17%
1993,9.99%
1992,21.02%
1991,20.87%
1990,5.21%
1989,9.63%
1988,2.21%
1987,-9.15%
1986,5.55%
1985,18.4%
1984,-0.33%
