Year,GDP per capita in U.S. dollars
2024*,75631.87
2023*,72466.19
2022*,69597.89
2021*,66949.98
2020*,64829.22
2019*,63987.07
2018,64578.77
2017,60296.79
2016,56722.27
2015,55645.61
2014,57564.8
2013,56519.35
2012,54891.87
2011,53363.94
2010,46469.4
2009,38577.17
2008,39722.15
2007,39223.54
2006,33579.16
2005,29869.9
2004,27404.81
2003,23573.85
2002,22016.98
2001,21576.81
2000,23793.11
1999,21796.25
1998,21824.01
1997,26386.35
1996,26262.26
1995,24937.27
1994,21577.84
1993,18302.53
1992,16144.34
1991,14504.6
1990,12766.06
1989,10711.03
1988,9316.36
1987,7786.65
1986,6864.32
1985,6781.92
1984,7155.39
