Year,Gross domestic product per capita U.S. dollars
2024*,98276.19
2023*,95121.59
2022*,92190.42
2021*,89370.25
2020*,86673.5
2019*,83716.81
2018*,83161.9
2017,80763.57
2016,80629.21
2015,82511.34
2014,87159.83
2013,85675.76
2012,83958.55
2011,88903.38
2010,74884.83
2009,70321.9
2008,72941.18
2007,63959.84
2006,57801.08
2005,55115.31
2004,53446.73
2003,48284.64
2002,41554.55
2001,38715.76
2000,37993.8
1999,40642.24
1998,41547.91
1997,40469.55
1996,46764.51
1995,48833.74
1994,41996.76
1993,38242.33
1992,39686.86
1991,38655.81
1990,38660.03
1989,30545.68
1988,31881.4
1987,29646.52
1986,23816.31
1985,16694.34
1984,16532.26
