Year,Inflation rate compared to previous year
2024*,5%
2023*,4.9%
2022*,4.75%
2021*,4.6%
2020*,4.62%
2019*,3.57%
2018,3.73%
2017,4.38%
2016,2.35%
2015,3.68%
2014,8.28%
2013,9.36%
2012,6.9%
2011,7.53%
2010,12.61%
2009,9.58%
2008,22.01%
2007,9.17%
2006,8.92%
2005,13.42%
2004,14.84%
2003,9.94%
2002,8.22%
2001,9.51%
2000,4.59%
1999,5.98%
1998,8.63%
1997,9.66%
1996,26.41%
1995,19.91%
1994,35.06%
1993,22.07%
1992,77.3%
1991,51.07%
1990,24.78%
1989,16.12%
1988,8.2%
1987,11.2%
1986,24.4%
1985,29.7%
1984,31.26%
