State,Number of residents per square mile
District of Columbia,11569.7
New Jersey,1207.8
Rhode Island,1024.5
Puerto Rico,932.7
Massachusetts,883.5
Connecticut,736.6
Maryland,622.9
Delaware,499.6
New York,412.8
Florida,400.7
Ohio,286.1
Pennsylvania,286.1
California,253.7
Illinois,228.2
Hawaii,220.3
Virginia,216.1
North Carolina,215.7
Indiana,187.9
Georgia,184.6
Michigan,176.7
South Carolina,171.2
Tennessee,165.6
New Hampshire,151.9
Washington,114.6
Kentucky,113.1
Texas,111.0
Louisiana,107.6
Wisconsin,107.5
Alabama,96.8
United States,92.9
Missouri,89.3
West Virginia,74.6
Minnesota,70.8
Vermont,67.7
Arizona,64.1
Mississippi,63.4
Arkansas,58.0
Oklahoma,57.7
Iowa,56.5
Colorado,55.6
Oregon,43.9
Maine,43.6
Utah,39.0
Kansas,35.6
Nevada,28.1
Nebraska,25.2
Idaho,21.6
New Mexico,17.3
South Dakota,11.7
North Dakota,11.0
Montana,7.3
Wyoming,6.0
Alaska,1.3
