Year,Number of residents in thousands
2019,328239.52
2018,326687.5
2017,324985.54
2016,322941.31
2015,320635.16
2014,318301.01
2013,315993.72
2012,313830.99
2011,311556.87
2010,309321.67
2009,307007.0
2008,304375.0
2007,301580.0
2006,298593.0
2005,295753.0
2004,293046.0
2003,290326.0
2002,287804.0
2001,285082.0
2000,282172.0
1999,279040.0
1998,275854.0
1997,272647.0
1996,269394.0
1995,266278.0
1994,263126.0
1993,259919.0
1992,256514.0
1991,252981.0
1990,249623.0
1989,246819.0
1988,244499.0
1987,242289.0
1986,240133.0
1985,237924.0
1984,235825.0
1983,233792.0
1982,231664.0
1981,229466.0
1980,226546.0
