Us River,Discharge in thousand cubic feet per second
Mississippi (Louisiana)*,593.0
St Lawrence (Canada),348.0
Ohio (Illinois-Kentucky),281.0
Columbia (Oregon-Washington),265.0
Yukon (Alaska),225.0
Missouri (Missouri),76.2
Tennessee (Kentucky),68.0
Mobile (Alabama),67.2
Kuskokwim (Alaska),67.0
Copper (Alaska),59.0
Atchafalaya (Louisiana)**,58.0
Snake (Washington),56.9
Stikine (Alaska),56.0
Red River (Louisiana)**,56.0
Susitna (Alaska),51.0
Arkansas (Arkansas),41.0
Tanana (Alaska),41.0
Susquehanna (Maryland),38.2
Willamette (Oregon),37.4
Nushagak (Alaska),36.0
Procupine (Alaska),23.0
